Dataset,ChunkIndex,CompressionImprovementPct,MaxBitWidth,MinBitWidth,MaxMinBitWidthDiff,BitWidthMean,BitWidthVar,BitWidthStd,BitWidthDiffAbsMean,BitWidthMedian,BitWidthP90,BitWidthChangeCount,BitWidthRunMean,ZeroFrac
City-temp.csv,0,4.276985743380855,11.0,1.0,10.0,10.9609375,0.38909912109375,0.6237781024480982,0.039100684261974585,11.0,11.0,4,204.8,0.00390625
City-temp.csv,1,4.276985743380855,11.0,1.0,10.0,10.951171875,0.4858970642089844,0.6970631708883954,0.05865102639296188,11.0,11.0,6,146.28571428571428,0.0048828125
City-temp.csv,2,4.276985743380855,11.0,1.0,10.0,10.951171875,0.4858970642089844,0.6970631708883954,0.039100684261974585,11.0,11.0,4,204.8,0.0048828125
City-temp.csv,3,1.921470342522974,10.0,1.0,9.0,8.56640625,0.4780120849609375,0.6913841804387323,0.14760508308895406,9.0,9.0,143,7.111111111111111,9.765625E-4
City-temp.csv,4,4.276985743380855,11.0,1.0,10.0,10.98046875,0.1949310302734375,0.44150994357255136,0.039100684261974585,11.0,11.0,4,204.8,0.001953125
City-temp.csv,5,4.276985743380855,11.0,1.0,10.0,10.990234375,0.09756088256835938,0.312347374838271,0.019550342130987292,11.0,11.0,2,341.3333333333333,9.765625E-4
City-temp.csv,6,4.276985743380855,11.0,1.0,10.0,10.990234375,0.09756088256835938,0.312347374838271,0.019550342130987292,11.0,11.0,2,341.3333333333333,9.765625E-4
City-temp.csv,7,4.276985743380855,11.0,1.0,10.0,10.94140625,0.5825042724609375,0.7632196751007783,0.09775171065493646,11.0,11.0,10,93.0909090909091,0.005859375
City-temp.csv,8,4.276985743380855,11.0,1.0,10.0,10.892578125,1.0626792907714844,1.0308633715345037,0.13685239491691104,11.0,11.0,14,68.26666666666667,0.0107421875
City-temp.csv,9,3.109182935647144,11.0,1.0,10.0,7.083984375,23.82497787475586,4.881083678319381,2.8054740957966766,11.0,11.0,287,3.5555555555555554,0.3916015625
City-temp.csv,10,3.5335689045936394,11.0,1.0,10.0,1.087890625,0.8711814880371094,0.9333710344965229,0.17595307917888564,1.0,1.0,18,53.89473684210526,0.9912109375
City-temp.csv,11,11.03448275862069,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1024.0,1.0
City-temp.csv,12,12.597200622083982,11.0,1.0,10.0,2.0546875,9.43450927734375,3.071564630175271,1.2805474095796676,1.0,11.0,131,7.757575757575758,0.89453125
City-temp.csv,13,0.0,11.0,1.0,10.0,7.865234375,21.52090072631836,4.639062483554016,1.6911045943304008,11.0,11.0,173,5.885057471264368,0.3134765625
City-temp.csv,14,1.6050244242847174,11.0,1.0,10.0,9.984375,9.124755859375,3.020721082684563,0.5865102639296188,11.0,11.0,60,16.78688524590164,0.1015625
City-temp.csv,15,4.276985743380855,11.0,1.0,10.0,10.287109375,6.620693206787109,2.5730707737617924,0.5083088954056696,11.0,11.0,52,19.32075471698113,0.0712890625
City-temp.csv,16,3.622693096377307,11.0,1.0,10.0,10.8046875,1.91497802734375,1.3838273112436212,0.09775171065493646,11.0,11.0,10,93.0909090909091,0.01953125
